iter	Passed	Remaining
392	677	1046
393	678	1043
394	679	1040
395	680	1037
396	681	1034
397	682	1032
398	688	1036
399	689	1034
400	692	1033
401	693	1031
402	694	1029
403	695	1026
404	697	1024
405	698	1021
406	699	1019
407	703	1020
408	705	1019
409	706	1016
410	707	1013
411	708	1011
412	709	1008
413	710	1005
414	712	1004
415	713	1002
416	715	1000
417	717	998
418	718	995
419	719	993
420	720	990
421	721	987
422	722	985
423	723	982
424	724	979
425	725	977
426	727	976
427	731	977
428	732	975
429	733	972
430	734	970
431	735	967
432	736	964
433	737	962
434	738	959
435	739	957
436	741	954
437	742	952
438	746	954
439	747	951
440	749	949
441	750	947
442	750	944
443	751	941
444	752	938
445	753	935
446	754	933
447	755	930
448	757	929
449	759	928
450	762	928
451	764	926
452	765	924
453	767	923
454	769	921
455	770	919
456	772	918
457	774	916
458	775	914
459	776	911
460	777	909
